;S1;coef
0;0;-40.10244659746171
1;1;-57.7868329022437
2;2;23.194973506544475
3;3;39.54848255915269
4;4;-644.1877419560155
5;5;238.29130680404913
6;6;2468.039977686265
7;7;-1790.2481502133835
8;8;-3964.464932758948
9;9;3430.6302956471723
10;10;3480.521885884486
11;11;-3272.6264953981618
12;12;-1800.237550564273
13;13;1775.7855251449184
14;14;548.0510807302524
15;15;-557.5346499258397
16;16;-90.93986683441746
17;17;94.49509059574926
18;18;6.349716736961099
19;19;-6.698817952818668
